Date,Open,High,Low,Close,Adj Close,Volume
2022-10-17,1.809999942779541,1.909999966621399,1.7599999904632568,1.7899999618530273,1.7899999618530273,291100
2022-10-18,1.7999999523162842,1.8600000143051147,1.7300000190734863,1.7599999904632568,1.7599999904632568,346900
2022-10-19,1.75,1.75,1.6299999952316284,1.7400000095367432,1.7400000095367432,385200
2022-10-20,1.75,1.8799999952316284,1.7000000476837158,1.840000033378601,1.840000033378601,212400
2022-10-21,1.7999999523162842,2.0299999713897705,1.7899999618530273,2.009999990463257,2.009999990463257,375800
2022-10-24,1.9800000190734863,2.0899999141693115,1.899999976158142,2.069999933242798,2.069999933242798,267900
2022-10-25,2.049999952316284,2.1500000953674316,1.940000057220459,2.009999990463257,2.009999990463257,378100
2022-10-26,1.9700000286102295,2.1500000953674316,1.9600000381469727,2.0899999141693115,2.0899999141693115,173400
2022-10-27,2.069999933242798,2.25,2.059999942779541,2.200000047683716,2.200000047683716,193800
2022-10-28,2.2300000190734863,2.5399999618530273,2.190000057220459,2.5299999713897705,2.5299999713897705,367200
2022-10-31,2.4700000286102295,2.690000057220459,2.4200000762939453,2.609999895095825,2.609999895095825,224700
2022-11-01,2.5999999046325684,2.759999990463257,2.509999990463257,2.690000057220459,2.690000057220459,170800
2022-11-02,2.690000057220459,2.690000057220459,2.390000104904175,2.509999990463257,2.509999990463257,228900
2022-11-03,2.4600000381469727,2.559999942779541,2.4000000953674316,2.559999942779541,2.559999942779541,163000
2022-11-04,2.5,2.5399999618530273,2.3499999046325684,2.4800000190734863,2.4800000190734863,143600
2022-11-07,2.450000047683716,2.450000047683716,2.2300000190734863,2.259999990463257,2.259999990463257,325000
2022-11-08,1.4500000476837158,1.559999942779541,1.2200000286102295,1.2799999713897705,1.2799999713897705,2074800
2022-11-09,0.7599999904632568,0.7599999904632568,0.5199999809265137,0.5600000023841858,0.5600000023841858,9970900
2022-11-10,0.5699999928474426,0.6200000047683716,0.5299999713897705,0.5699999928474426,0.5699999928474426,5050400
2022-11-11,0.5699999928474426,0.7099999785423279,0.550000011920929,0.6499999761581421,0.6499999761581421,2887800
2022-11-14,0.6899999976158142,0.7099999785423279,0.6600000262260437,0.6899999976158142,0.6899999976158142,1224300
2022-11-15,0.6800000071525574,0.699999988079071,0.5699999928474426,0.5799999833106995,0.5799999833106995,1885800
2022-11-16,0.6100000143051147,0.6100000143051147,0.5799999833106995,0.6000000238418579,0.6000000238418579,505400
2022-11-17,0.6000000238418579,0.6000000238418579,0.550000011920929,0.5699999928474426,0.5699999928474426,481900
2022-11-18,0.5899999737739563,0.6000000238418579,0.5799999833106995,0.5899999737739563,0.5899999737739563,270100
2022-11-21,0.6000000238418579,0.6000000238418579,0.5,0.5099999904632568,0.5099999904632568,628600
2022-11-22,0.5299999713897705,0.550000011920929,0.5099999904632568,0.5299999713897705,0.5299999713897705,759500
2022-11-23,0.5600000023841858,0.5699999928474426,0.5199999809265137,0.550000011920929,0.550000011920929,720100
2022-11-25,0.5600000023841858,0.5799999833106995,0.550000011920929,0.5799999833106995,0.5799999833106995,209700
2022-11-28,0.6000000238418579,0.6000000238418579,0.5799999833106995,0.5899999737739563,0.5899999737739563,616100
2022-11-29,0.5899999737739563,0.6100000143051147,0.5799999833106995,0.6100000143051147,0.6100000143051147,371800
2022-11-30,0.6100000143051147,0.6100000143051147,0.5799999833106995,0.6000000238418579,0.6000000238418579,187800
2022-12-01,0.6100000143051147,0.6299999952316284,0.5799999833106995,0.6100000143051147,0.6100000143051147,306100
2022-12-02,0.6000000238418579,0.6399999856948853,0.5899999737739563,0.6399999856948853,0.6399999856948853,392800
2022-12-05,0.6299999952316284,0.6499999761581421,0.6000000238418579,0.6100000143051147,0.6100000143051147,188000
2022-12-06,0.6000000238418579,0.6299999952316284,0.550000011920929,0.5699999928474426,0.5699999928474426,217500
2022-12-07,0.550000011920929,0.5799999833106995,0.550000011920929,0.5699999928474426,0.5699999928474426,209700
2022-12-08,0.5600000023841858,0.6899999976158142,0.5600000023841858,0.6600000262260437,0.6600000262260437,487300
2022-12-09,0.6600000262260437,0.6600000262260437,0.6100000143051147,0.6499999761581421,0.6499999761581421,284100
2022-12-12,0.6600000262260437,0.7599999904632568,0.6600000262260437,0.75,0.75,582800
